Ser,,Code,Unique code,Title,Sub -Title, Amount ,
1,GENERAL PUBLIC SERVICES,101,01.1-101,"Executive and legislative organs, financial, fiscal affairs and external affairs",President," 211,036.00 ",
2,GENERAL PUBLIC SERVICES,102,01.1-102,"Executive and legislative organs, financial, fiscal affairs and external affairs",Deputy President," 31,320.00 ",
3,GENERAL PUBLIC SERVICES,202,01.1-202,"Executive and legislative organs, financial, fiscal affairs and external affairs",Constituent Assembly / Legislature - Parliament," 817,448.00 ",
4,GENERAL PUBLIC SERVICES,206,01.1-206,"Executive and legislative organs, financial, fiscal affairs and external affairs",Commission for Investigation of Abuse of Authority," 273,821.00 ",
5,GENERAL PUBLIC SERVICES,208,01.1-208,"Executive and legislative organs, financial, fiscal affairs and external affairs",Office of the Auditor General," 445,956.00 ",
6,GENERAL PUBLIC SERVICES,301,01.1-301,"Executive and legislative organs, financial, fiscal affairs and external affairs",Prime Minister and Council of Minister's Office," 3,413,761.00 ",
7,GENERAL PUBLIC SERVICES,305,01.1-305,"Executive and legislative organs, financial, fiscal affairs and external affairs",Ministry of Finance," 7,030,180.00 ",
8,GENERAL PUBLIC SERVICES,326,01.1-326,"Executive and legislative organs, financial, fiscal affairs and external affairs",Ministry of Foreign Affairs," 2,306,791.00 ",
9,GENERAL PUBLIC SERVICES,347,01.1-347,"Executive and legislative organs, financial, fiscal affairs and external affairs",MInistry of Urban Development," 100,239.00 ",
10,GENERAL PUBLIC SERVICES,352,01.1-352,"Executive and legislative organs, financial, fiscal affairs and external affairs",Ministry of Cooperative and poverty Alleviation," 292,695.00 ",
11,GENERAL PUBLIC SERVICES,355,01.1-355,"Executive and legislative organs, financial, fiscal affairs and external affairs","Ministry of Federal Affairs,Constituent Assembly,Parliamentary Affairs & Culture", -   ,
12,GENERAL PUBLIC SERVICES,356,01.1-356,"Executive and legislative organs, financial, fiscal affairs and external affairs",Ministry of General Administration," 31,572.00 ",
13,GENERAL PUBLIC SERVICES,365,01.1-365,"Executive and legislative organs, financial, fiscal affairs and external affairs",Ministry of Federal Affairs and Local Development," 275,386.00 ",
14,GENERAL PUBLIC SERVICES,501,01.1-501,"Executive and legislative organs, financial, fiscal affairs and external affairs",MOF Policy Financing," 1,000,000.00 ",
15,GENERAL PUBLIC SERVICES,503,01.1-503,"Executive and legislative organs, financial, fiscal affairs and external affairs",MOF External Debt Service (Multilateral)," 17,345,678.00 ",
16,GENERAL PUBLIC SERVICES,504,01.1-504,"Executive and legislative organs, financial, fiscal affairs and external affairs",MOF External Debt Service (Bilateral)," 4,382,797.00 ",
17,GENERAL PUBLIC SERVICES,601,01.1-601,"Executive and legislative organs, financial, fiscal affairs and external affairs",MOF Staff Benifits and Retirement Benefits," 29,138,150.00 ",
18,GENERAL PUBLIC SERVICES,602,01.1-602,"Executive and legislative organs, financial, fiscal affairs and external affairs",MOF Miscellaneous," 16,804,177.00 ",
19,GENERAL PUBLIC SERVICES,210,01.3-210,General services,Public Service Commission," 386,377.00 ",
20,GENERAL PUBLIC SERVICES,325,01.3-325,General services,"Ministry of Culture, Tourism and Civil Aviation"," 137,364.00 ",
21,GENERAL PUBLIC SERVICES,326,01.3-326,General services,Ministry of Foreign Affairs," 346,479.00 ",
22,GENERAL PUBLIC SERVICES,337,01.3-337,General services,Ministry of Physical Infrastructure and Transport, -   ,
23,GENERAL PUBLIC SERVICES,347,01.3-347,General services,MInistry of Urban Development," 380,632.00 ",
24,GENERAL PUBLIC SERVICES,356,01.3-356,General services,Ministry of General Administration," 739,858.00 ",
25,GENERAL PUBLIC SERVICES,391,01.3-391,General services,National Planning Commission Secreterate," 785,123.00 ",
26,GENERAL PUBLIC SERVICES,301,01.5-301,R&D General public services,Prime Minister and Council of Minister's Office," 10,793.00 ",
27,GENERAL PUBLIC SERVICES,305,01.5-305,R&D General public services,Ministry of Finance," 15,588.00 ",
28,GENERAL PUBLIC SERVICES,212,01.6-212,General public services n.e.c.,Election Commission," 379,172.00 ",
